year,month,excessequity,excessequity3mo,log_e_eom,log_q_eom,cip_govt_3m_2020,diffy_3m_2020,log_ip_oecd_USD,diff_log_ip
2012,6,4.8683834,-5.5524645,-18.592123,10.860459,.22343622,.46345714,46.458717,-28.890196
2012,9,3.1392004,6.727047,-21.507494,8.6286325,.22055469,.46557143,46.290798,-31.194466
2012,12,2.2948675,2.9663858,-21.197914,8.8002338,.16421115,.42695716,47.335617,-31.379215
2013,3,1.8691946,6.4156718,-17.171202,12.798491,.10283381,.40545714,48.181129,-33.027561
2013,6,-2.9227929,-.27917469,-15.36833,14.553743,.076224163,.42874286,48.321976,-33.02615
2013,9,5.0840917,7.7397623,-18.716236,11.207122,.079318337,.45285714,49.066689,-33.501331
2013,12,1.7604696,7.1797023,-17.949001,12.258885,.050111547,.42975715,49.487736,-32.484631
2014,3,.50820345,1.1999149,-17.849834,12.659164,.0094055971,.39588571,50.872635,-33.454277
2014,6,1.9042521,5.0681596,-17.99131,12.383915,.034131121,.3645857,51.652885,-34.713844
2014,9,-3.2487929,-2.2032135,-11.337182,18.875433,.10008365,.33668572,52.037056,-34.292648
2014,12,-1.8946831,.54556137,-4.4682336,25.421238,.021259749,.16347142,52.691376,-34.554905
2015,3,-1.4863051,2.417223,3.3959975,32.934895,.12994303,-.036899991,51.404274,-33.163345
2015,6,-2.3325984,.49216938,.58405715,30.446836,.1166987,-.061857142,50.035915,-30.678003
2015,9,-3.6322043,-9.7894449,3.2115903,32.923306,.21847194,-.11802857,50.093159,-30.724049
2015,12,-1.7811406,5.0425549,5.513876,35.327808,.083706714,-.47052857,48.465569,-30.930176
2016,3,7.1967344,.34684485,.98082376,30.465067,.19530457,-.47151428,47.791519,-28.905622
2016,6,-.57128084,1.1183552,2.7051215,32.573029,.29380521,-.54985714,48.24329,-30.945429
2016,9,.63592595,5.2447853,1.7919735,31.936676,.58467191,-.59032857,48.412964,-30.939623
2016,12,2.1540341,1.2458634,8.6070824,38.969864,.49098501,-.86342853,49.271992,-28.424341
2017,3,1.2554431,6.7000904,6.9157724,37.327843,.17325701,-1.0446429,49.674282,-28.113916
2017,6,.43511182,4.1526899,3.1655018,33.36544,.21600905,-1.1985857,50.868855,-28.568291
2017,9,1.8618913,4.931922,.02932358,30.699841,.29843798,-1.2040714,50.35627,-27.905773
2017,12,1.5501596,5.4238696,-.1609239,30.679317,.10571024,-1.5259714,52.717175,-28.905828
2018,3,-2.1912286,-1.1786324,-2.0104845,29.052776,.25911397,-1.8708667,53.386982,-29.364538
2018,6,-.64720726,.26524231,2.714741,33.866856,.11245508,-1.9512714,54.23999,-30.099077
2018,9,.31503513,3.8375502,2.9879153,34.008739,.30675346,-2.2521,55.620995,-31.626415
2018,12,-7.4434962,-14.06636,4.8953943,35.950878,-.042581998,-2.3852286,56.417194,-31.188477
2019,3,1.1186581,11.055226,5.6556244,36.92902,-.029911481,-2.2927999,55.626591,-31.986513
2019,6,6.1921387,3.1254497,4.7847757,36.127686,.049599804,-1.9637001,55.257896,-32.245094
2019,9,1.9553276,-.4109475,8.3639116,39.881851,.2284866,-1.7633142,55.436279,-32.551704
2019,12,3.3628192,8.2302141,5.0236325,36.961166,-.045215216,-1.4332,55.600773,-33.093193
2020,3,,,10.793312,40.250961,.51466101,-.34948573,50.808807,-31.554684
2020,6,,,8.7288933,40.250961,.051101733,-.36807144,43.902039,-31.499763
2020,9,,,8.7288933,40.250961,,,47.73727,-32.624008
2020,12,,,8.7288933,40.250961,,,47.73727,-32.624008
2021,3,,,8.7288933,40.250961,,,47.73727,-32.624008
2021,6,,,8.7288933,40.250961,,,47.73727,-32.624008
2021,9,,,8.7288933,40.250961,,,47.73727,-32.624008
2021,12,,,8.7288933,40.250961,,,47.73727,-32.624008
2022,3,,,8.7288933,40.250961,,,47.73727,-32.624008
2022,6,,,8.7288933,40.250961,,,47.73727,-32.624008
2022,9,,,8.7288933,40.250961,,,47.73727,-32.624008
