"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1999-07","Jul-1999","IDX","Index","0","Units","2015_100","2015=100",90.29025,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1999-08","Aug-1999","IDX","Index","0","Units","2015_100","2015=100",91.1517,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1999-09","Sep-1999","IDX","Index","0","Units","2015_100","2015=100",92.36468,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1999-10","Oct-1999","IDX","Index","0","Units","2015_100","2015=100",91.85102,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1999-11","Nov-1999","IDX","Index","0","Units","2015_100","2015=100",93.02842,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1999-12","Dec-1999","IDX","Index","0","Units","2015_100","2015=100",94.47871,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2000-01","Jan-2000","IDX","Index","0","Units","2015_100","2015=100",94.84121,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2000-02","Feb-2000","IDX","Index","0","Units","2015_100","2015=100",94.47549,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2000-03","Mar-2000","IDX","Index","0","Units","2015_100","2015=100",95.56889,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2000-04","Apr-2000","IDX","Index","0","Units","2015_100","2015=100",95.30003,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2000-05","May-2000","IDX","Index","0","Units","2015_100","2015=100",96.74789,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2000-06","Jun-2000","IDX","Index","0","Units","2015_100","2015=100",97.07482,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2000-07","Jul-2000","IDX","Index","0","Units","2015_100","2015=100",97.07964,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2000-08","Aug-2000","IDX","Index","0","Units","2015_100","2015=100",98.06388,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2000-09","Sep-2000","IDX","Index","0","Units","2015_100","2015=100",98.02509,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2000-10","Oct-2000","IDX","Index","0","Units","2015_100","2015=100",98.24232,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2000-11","Nov-2000","IDX","Index","0","Units","2015_100","2015=100",98.23483,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2000-12","Dec-2000","IDX","Index","0","Units","2015_100","2015=100",98.33275,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2001-01","Jan-2001","IDX","Index","0","Units","2015_100","2015=100",95.81635,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2001-02","Feb-2001","IDX","Index","0","Units","2015_100","2015=100",95.59109,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2001-03","Mar-2001","IDX","Index","0","Units","2015_100","2015=100",94.86742,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2001-04","Apr-2001","IDX","Index","0","Units","2015_100","2015=100",95.18793,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2001-05","May-2001","IDX","Index","0","Units","2015_100","2015=100",95.31527,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2001-06","Jun-2001","IDX","Index","0","Units","2015_100","2015=100",94.37704,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2001-07","Jul-2001","IDX","Index","0","Units","2015_100","2015=100",93.06293,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2001-08","Aug-2001","IDX","Index","0","Units","2015_100","2015=100",93.55573,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2001-09","Sep-2001","IDX","Index","0","Units","2015_100","2015=100",92.12149,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2001-10","Oct-2001","IDX","Index","0","Units","2015_100","2015=100",92.39517,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2001-11","Nov-2001","IDX","Index","0","Units","2015_100","2015=100",92.47891,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2001-12","Dec-2001","IDX","Index","0","Units","2015_100","2015=100",90.67709,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2002-01","Jan-2002","IDX","Index","0","Units","2015_100","2015=100",93.86606,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2002-02","Feb-2002","IDX","Index","0","Units","2015_100","2015=100",95.13469,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2002-03","Mar-2002","IDX","Index","0","Units","2015_100","2015=100",94.98006,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2002-04","Apr-2002","IDX","Index","0","Units","2015_100","2015=100",96.33563,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2002-05","May-2002","IDX","Index","0","Units","2015_100","2015=100",96.27758,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2002-06","Jun-2002","IDX","Index","0","Units","2015_100","2015=100",95.59003,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2002-07","Jul-2002","IDX","Index","0","Units","2015_100","2015=100",96.58176,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2002-08","Aug-2002","IDX","Index","0","Units","2015_100","2015=100",96.38245,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2002-09","Sep-2002","IDX","Index","0","Units","2015_100","2015=100",95.50495,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2002-10","Oct-2002","IDX","Index","0","Units","2015_100","2015=100",96.15184,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2002-11","Nov-2002","IDX","Index","0","Units","2015_100","2015=100",95.54668,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2002-12","Dec-2002","IDX","Index","0","Units","2015_100","2015=100",94.47977,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2003-01","Jan-2003","IDX","Index","0","Units","2015_100","2015=100",95.51619,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2003-02","Feb-2003","IDX","Index","0","Units","2015_100","2015=100",95.66868,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2003-03","Mar-2003","IDX","Index","0","Units","2015_100","2015=100",95.31527,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2003-04","Apr-2003","IDX","Index","0","Units","2015_100","2015=100",94.97176,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2003-05","May-2003","IDX","Index","0","Units","2015_100","2015=100",95.03249,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2003-06","Jun-2003","IDX","Index","0","Units","2015_100","2015=100",94.58572,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2003-07","Jul-2003","IDX","Index","0","Units","2015_100","2015=100",95.62079,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2003-08","Aug-2003","IDX","Index","0","Units","2015_100","2015=100",94.33611,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2003-09","Sep-2003","IDX","Index","0","Units","2015_100","2015=100",96.21364,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2003-10","Oct-2003","IDX","Index","0","Units","2015_100","2015=100",96.7562,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2003-11","Nov-2003","IDX","Index","0","Units","2015_100","2015=100",96.83618,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2003-12","Dec-2003","IDX","Index","0","Units","2015_100","2015=100",97.03068,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2004-01","Jan-2004","IDX","Index","0","Units","2015_100","2015=100",96.62965,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2004-02","Feb-2004","IDX","Index","0","Units","2015_100","2015=100",96.29684,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2004-03","Mar-2004","IDX","Index","0","Units","2015_100","2015=100",97.47398,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2004-04","Apr-2004","IDX","Index","0","Units","2015_100","2015=100",97.29607,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2004-05","May-2004","IDX","Index","0","Units","2015_100","2015=100",96.87926,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2004-06","Jun-2004","IDX","Index","0","Units","2015_100","2015=100",98.2953,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2004-07","Jul-2004","IDX","Index","0","Units","2015_100","2015=100",97.63048,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2004-08","Aug-2004","IDX","Index","0","Units","2015_100","2015=100",98.15672,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2004-09","Sep-2004","IDX","Index","0","Units","2015_100","2015=100",98.65192,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2004-10","Oct-2004","IDX","Index","0","Units","2015_100","2015=100",98.55774,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2004-11","Nov-2004","IDX","Index","0","Units","2015_100","2015=100",98.56844,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2004-12","Dec-2004","IDX","Index","0","Units","2015_100","2015=100",98.62275,,
