"Table 1.2. U.S. Net International Investment Position at the End of the Period, Expanded Detail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Millions of dollars]    NOTE:  End of quarter positions begin in the fourth quarter of 2005. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Release Date: September 29, 2020 - Next Release Date: December 29, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,Type of investment,1976,1977 ,1978,1979 ,1980,1981 ,1982,1983 ,1984,1985 ,1986,1987 ,1988,1989 ,1990,1991 ,1992,1993 ,1994,1995 ,1996,1997 ,1998,1999 ,2000,2001 ,2002,2003 ,2004,2005 ,2006,2007 ,2008,2009 ,2010,2011 ,2012,2013 ,2014,2015 ,2016,2017 ,2018,2019 
35,          Other claims,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3196,4067,4284,3854,4425,5093,8150,5181,4934,0,1318,5099,0,0,0,0,0,0
36,  U.S. liabilities,290885,330475,397817,448210,542221,605951,791992,945162,1074338,1287772,1570484,1790600,2077372,2481453,2565177,2848988,3043359,3356505,3544948,4371942,5120102,6324739,7402395,8613711,9178574,9465063,9476128,10913947,12952395,15214866,18218331,21983996,23418718,22054085,24279619,26664258,27080174,29513421,31828304,30892217,32160757,35394541,34908211,40203278
37,"      Liabilities excluding financial derivatives (sum of lines 39, 42, and 57)",290885,330475,397817,448210,542221,605951,791992,945162,1074338,1287772,1570484,1790600,2077372,2481453,2565177,2848988,3043359,3356505,3544948,4371942,5120102,6324739,7402395,8613711,9178574,9465063,9476128,10913947,12952395,14082752,17039172,19496136,17450903,18690641,20737688,22033719,23518189,26573878,28661528,28503324,29998482,33871370,33500663,38433027
38,"      Financial derivatives other than reserves, gross negative fair value (line 51)",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1132114,1179159,2487860,5967815,3363444,3541931,4630539,3561985,2939543,3166776,2388893,2162275,1523171,1407548,1770251
 ,    By functional category:, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
39,      Direct investment at market value,44158,43218,50629,65751,99867,109292,199771,230300,259723,309338,358030,407706,482015,632239,661170,804182,840912,911710,877354,1135542,1370076,1794795,2368530,3009958,3023792,2799823,2282370,2763061,3101450,3227144,3752602,4134239,3091240,3618630,4099097,4199225,4662434,5814935,6378893,6729220,7510517,8814803,8401698,10547095
40,        Equity,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,99192,118923,130564,172997,214669,240520,304288,422868,421396,555259,580997,624467,623868,870280,1079410,1457942,1970457,2525861,2449008,2166097,1658552,2136541,2398717,2483696,2895531,3097513,2000508,2513901,2927753,2968362,3415843,4443216,4895752,5110389,5823354,7075812,6725495,8764187
41,        Debt instruments,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,100579,111377,129159,136341,143361,167186,177727,209371,239774,248923,259915,287243,253486,265262,290666,336853,398073,484097,574784,633726,623818,626520,702733,743448,857071,1036726,1090732,1104729,1171344,1230863,1246591,1371719,1483141,1618831,1687163,1738991,1676203,1782908
42,      Portfolio investment,153067,185303,216917,208756,242620,253037,289863,319827,367974,473731,616611,676649,784911,958808,946844,1076499,1180655,1371827,1456081,1900950,2356160,2861123,3340370,3715693,4008473,4324590,4571348,5546317,6621226,7337835,8843523,10326974,9475873,10463234,11869262,12647243,13978865,15541251,16921786,16645846,17359963,19398286,18844156,21389779
43,        Equity and investment fund shares,47475,45129,47859,55434,74586,74683,88324,109555,104852,136791,183172,189006,213813,276100,243789,298957,328988,373521,397720,549513,672397,952893,1250342,1611534,1643205,1572681,1335792,1839509,2123259,2304013,2791893,3231651,2132433,2917681,3545769,3841901,4545361,5864600,6642507,6209080,6570218,7941551,7539222,9220209
