Table 1.1. U.S. International Transactions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Millions of dollars] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Release Date: September 18, 2020 - Next Release Date: December 18, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Line, ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted
32,    Balance on goods (line 3 less line 11),828,1191,1176,1697,1653,1502,1028,1388,1105,1417,980,1019,1071,1528,945,1680,1840,1759,1308,1894,1037,1599,888,1427,1178,1131,465,1043,1024,1380,774,622,256,442,-161,98,113,123,-229,600,773,1115,305,410,560,-634,-990,-1196,-1442,-1569,-2090,-1315,-568,12,-58,1525,654,-1281,-3812,-1066,2296,3727,426,2454,-872,-997,-4550,-3064,-7123,-6191,-8815,-8962,-11196,-7342,-9650,-5739,-5055,-6230,-9142,-7141,-10488,-5469,-5648,-3895,-5546,-6248,-8752,-7477,-7401,-4747,-13457,-10880,-9219,-15016,-22252,-20615,-24545,-28922,-30329,-28696,-23241,-30032,-33033,-35867,-33077,-34657,-38794,-38553,-35941,-39565,-42786,-41265,-30436,-30318,-32753,-33452,-27218,-26856,-32379,-31296,-24019,-22255,-32827,-31936,-15004,-14065,-25089,-22779,-14005,-21051,-32638,-29203,-24033,-30632,-41930,-35856,-31375,-38023,-50062,-46371,-38620,-45256,-49287,-41007,-36079,-45431,-59979,-49511,-42785,-44932,-59230,-51481,-48190,-60216,-74986,-64829,-64546,-78445,-99775,-94301,-98067,-106480,-122979,-119257,-105010,-101196,-112854,-103309,-94783,-115201,-131991,-133270,-123997,-132070,-144581,-140996,-138599,-161704,-178850,-185612,-168933,-186622,-210488,-216762,-192606,-209698,-231447,-203538,-186083,-202454,-216362,-216298,-194721,-219771,-240710,-177290,-107858,-111736,-145937,-144164,-133980,-165995,-186771,-161926,-161396,-189474,-203399,-186730,-173842,-191030,-197751,-178496,-156941,-177554,-197057,-168986,-162582,-193361,-205347,-188627,-173730,-190161,-207381,-190596,-169161,-186330,-202338,-191972,-178195,-201632,-207679,-211836,-197255,-205299,-239316,-238430,-192698,-224505,-238221,-208907,-175705,-219913
33,    Balance on services (line 4 less line 12),-239,-205,-758,-183,-306,-186,-671,-214,-173,-11,-714,-253,-62,79,-807,-224,-47,-84,-614,-35,14,152,-462,9,-186,87,-732,-47,48,-328,-886,-30,3,-28,-516,156,-100,-14,-583,180,27,-43,-652,320,581,200,-485,663,609,-108,-56,528,333,-110,-44,810,675,188,-333,682,1322,1349,-100,929,1087,535,550,1230,1242,741,626,1236,1507,799,480,1378,1403,479,140,981,1058,1083,1816,2136,2962,2337,3171,3381,4030,2380,2696,3224,4300,1727,1379,1929,2597,87,-568,1302,2048,-1255,-1612,1113,2675,701,114,3053,3793,887,1085,2109,3456,1922,2967,4049,6591,4388,6037,7591,8101,5695,6986,9391,9362,9475,12967,13998,15388,12830,14888,14579,16966,13741,16387,15047,16806,14734,17488,18310,18913,15676,21660,21537,21369,19102,20433,26031,23046,20597,23221,23291,22481,18450,19276,21874,19806,18206,20702,22545,19413,18688,17615,21379,17511,14988,14759,14738,13170,12961,13331,15117,10812,10136,9234,15219,14075,12313,10033,17507,16961,13746,13795,21760,16170,16282,15610,25695,23141,22914,26053,38092,29812,30858,27810,31662,23633,25982,28165,37142,31199,31784,36045,46557,42602,43672,48562,51641,48662,49497,52811,64242,58893,59212,65695,69909,60671,65446,69008,70648,65621,66063,68776,70146,59639,64905,71114,72975,66342,67688,70412,81109,74561,70948,74129,80726,66590,67986,70601,82290,61737,53318
34,  Balance on primary income (line 5 less line 13),770,816,834,958,927,905,916,1007,923,1046,1040,1285,1124,1111,1115,1245,1258,1251,1266,1266,1339,1433,1300,1277,1207,1277,1205,1357,1239,1259,1350,1426,1381,1492,1492,1625,1523,1549,1409,1563,1507,1646,1550,1531,1758,1958,1688,1866,1959,2051,1843,2339,2555,2913,2916,3769,4255,4209,3363,3676,2905,2902,2735,4244,3647,4113,3764,4538,4676,4742,4281,4438,5203,4633,3970,6601,6381,7252,7821,9420,9967,5826,5925,8354,8148,8090,7008,9657,8789,9488,7969,8917,8324,8823,8665,10576,9077,8709,8296,8983,6609,6603,5088,7422,5664,3317,3314,3199,3149,3490,2667,4988,5755,4531,2770,5629,5013,4070,3542,7199,6667,6120,3862,11900,8663,4864,3479,7123,6986,5983,4758,6510,8238,5920,6789,4372,6046,4179,2947,3973,6693,6312,1954,5931,8413,4891,3603,5411,4373,4842,2590,802,4094,1988,-1257,-559,2420,2189,2064,3300,3932,3029,1950,5720,4305,4892,-1238,15285,5812,477,3167,8049,3739,6781,5516,13218,16836,10765,12134,6847,14332,10727,12807,6320,6906,4864,480,3725,3701,7888,20915,31853,30598,32323,34576,14522,23283,23499,34660,34097,41634,43509,43083,41685,47475,48729,51453,54774,52868,47910,49394,47752,45361,48384,51322,50453,50561,48249,54799,46694,47827,43501,43591,50457,45912,45902,46049,59157,62183,57644,66002,71964,71684,64027,55584,59879,54338,59047,61172,61787,52895,29307
35,  Balance on secondary income (line 8 less line 16),-958,-1172,-896,-1035,-991,-1211,-914,-1012,-1115,-1278,-897,-987,-1110,-1392,-931,-960,-1019,-1285,-933,-1003,-1043,-1506,-1010,-1025,-1149,-1577,-1072,-1158,-1319,-1505,-1306,-1164,-1246,-1387,-1436,-1560,-1169,-1671,-1311,-1584,-1371,-1606,-1607,-1572,-1719,-1825,-1762,-2096,-2258,-2030,-2330,-1926,-1482,-1988,-1785,-1659,-3375,-2538,-1738,-1597,-1970,-2417,-1173,-1516,-1098,-1189,-2216,-1183,-1271,-1422,-1348,-1186,-1394,-1480,-1375,-1539,-1398,-1461,-1744,-1990,-2149,-1638,-1882,-2680,-2712,-2713,-3062,-3215,-3958,-3765,-3990,-4832,-3563,-3727,-4180,-5841,-4370,-4262,-5034,-6668,-5120,-5015,-5675,-6189,-5254,-6060,-6344,-6473,-5214,-5265,-5607,-7179,-6064,-5369,-5768,-8073,-6115,-5418,-6501,-8135,-6643,-7331,-7213,-5467,14721,4025,-2942,-5900,-7245,-7956,-9403,-12031,-8271,-8854,-9675,-13011,-8614,-8444,-9798,-13409,-9610,-8762,-9507,-10195,-11314,-8924,-9793,-12986,-10267,-9844,-10572,-14379,-12266,-11976,-12837,-16108,-10093,-9641,-9695,-11347,-9861,-11339,-11547,-14116,-13265,-13809,-14622,-15256,-14645,-12556,-12228,-13520,-13967,-13240,-13367,-14725,-18075,-17720,-17469,-18370,-17537,-19947,-19446,-19946,-14182,-18336,-19716,-16853,-24694,-20693,-21730,-22794,-26095,-23689,-24561,-21847,-22735,-25373,-28087,-24301,-25685,-23339,-25662,-24147,-28798,-25553,-24959,-23902,-23867,-23159,-22290,-20817,-20085,-22225,-23328,-19907,-20005,-12238,-25451,-26283,-24299,-22324,-28007,-26839,-27947,-25818,-28224,-28727,-20840,-30666,-27439,-30327,-27764,-29297,-29554,-34316,-34445,-34515,-33794,-36952,-36864,-34513
36,Balance on capital account (line 17 less line 18) /4/,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,-207,-172,0,0,-7049,-1068,-99,-3960,-2,-13,-62,1529,-5,-622,-13,-68,-11,-8,-866,-228,-10,-8,119,-444,112,-2,-2,-2,-2,-16,-88,-113,-39,-2,4,-13,4,-278,-358,-337,-5455,-502,-355,-811,-2550,-90,-126,12850,-465,-2146,-346,-371,-962,-1910,-2891,-2408,-1290,-2883,-1118,1801,-2143,-6133,-1931,12984,-3970,-2515,-1845,-1428,-1651,-3074,-327,-930,-1726,-2864,-896,5150,-1562,-951,-2311,-1359,-1255,-3168,-1076,-1171,-1476,-1695,-4093,-1534,-1699,-2047,-1794,-1525,6297,-1671,-1882,-1462,-1544,-2361,-1298,-1220,-1655,-2999,-1266,-2184,-1490,-2236,-1078,-1352,-1940,-2116,-1999,18213,-1703,-1406,-2912,-455,576,-2542,-848,-835,-2019,-2971,-1052
37,Net lending (+) or net borrowing (-) from current- and capital-account transactions (line 30 plus line 36) /5/,401,630,357,1437,1282,1010,359,1170,741,1174,409,1063,1024,1326,323,1741,2033,1641,1027,2122,1347,1679,717,1687,1051,919,-134,1195,992,806,-69,855,393,519,-621,320,368,-14,-713,758,935,1112,-405,689,1179,-300,-1549,-763,-1131,-1656,-2634,-375,838,828,1029,4445,2209,578,-2520,1694,4554,5562,1889,6112,2765,2462,-2452,1521,-2476,-2130,-5256,-4474,-5879,-3390,-6575,701,1331,39,-2925,1270,-1611,-198,212,3915,2853,1465,-1635,2346,1459,3356,-6782,-3570,-157,-8195,-16387,-13952,-17241,-24389,-27635,-25079,-19705,-29699,-35232,-33519,-29992,-36700,-41710,-38774,-34214,-40453,-44641,-41347,-27289,-29233,-32784,-31847,-21729,-23816,-29301,-24848,-16067,-17772,-29191,-23160,16673,4199,-15544,-7560,1110,-10257,-20868,-20149,-7724,-19839,-28496,-29460,-17145,-28419,-39654,-37506,-22631,-31909,-35624,-23624,-17613,-30364,-45737,-31058,-25648,-29424,-44104,-41806,-33884,-51750,-69817,-59618,-52691,-68049,-87041,-85258,-85084,-96456,-115772,-108824,-96549,-95252,-101106,-89007,-92591,-114665,-128092,-124586,-125323,-131284,-145606,-128575,-128647,-157464,-172352,-181771,-161310,-184027,-190348,-212598,-186228,-208732,-236502,-192623,-187009,-192672,-192054,-170871,-163271,-181174,-197735,-154515,-84628,-89939,-112558,-98481,-90000,-115118,-134475,-99307,-101810,-126719,-129877,-105916,-98225,-118575,-119361,-81022,-74442,-94065,-104829,-70075,-73717,-93203,-108212,-99223,-87580,-104186,-125206,-98322,-93792,-102420,-114752,-90507,-72626,-108965,-80491,-90793,-80180,-102533,-139613,-131565,-108757,-132834,-141077,-103801,-100909,-172854
38,Net lending (+) or net borrowing (-) from financial-account transactions (line 19 less line 24 plus line 28) /5/,358,414,159,874,1131,607,522,573,886,1022,-20,374,1092,1361,24,1576,1994,1654,771,1498,1663,1742,312,1257,1269,1082,248,1061,1109,491,153,625,336,297,34,382,-594,-479,-1079,1034,1010,887,-562,775,410,-2631,-6207,-2785,54,-2229,-3648,-1851,-2734,1385,863,4972,-302,805,-1679,693,8175,5575,2046,7037,4957,3620,1386,3466,-1531,-2333,-8327,-5794,-3061,4363,-7935,1488,6030,8331,1624,9375,4384,13834,4461,2253,13198,9146,187,5932,10585,8698,5956,7586,13930,-12377,-7651,-14927,-13485,-15908,-22352,-23928,-11272,-26020,-31817,-30371,-22586,-27120,-37104,-29792,-49115,-29135,-54615,-34940,-32875,-48179,-1564,-55643,-10051,-132,-19727,-17484,-12878,-2573,-18357,-24316,4319,-11597,-15596,-20959,-17451,-32359,-20567,-23566,-1798,-12060,-31436,-33914,-46820,-9670,-48262,-19485,-29227,-2653,-68031,17073,-547,-31270,-51356,-51306,-16435,-45204,-46298,-111038,-815,-14370,-15828,-35952,-18856,-66045,-31217,-122485,-31109,-139329,-159451,-148504,-109968,-118690,-57317,-116056,-85708,-90183,-159645,-167133,-155597,-61431,-130048,-193480,-102501,-162760,-102780,-174179,-103713,-86857,-216914,-306576,-154866,-202137,-245166,-223398,-249709,-155767,-79213,-148152,-198090,-157153,-176284,-215527,-8950,-14315,-34098,-182015,-73787,-26298,-231607,-114689,-202288,-129278,-156954,-37452,-249735,-46308,11435,-163424,-37072,-27041,-132102,-203879,-100363,-74671,-45244,-76798,-110163,-127113,-25905,-69964,-72766,4403,-207602,-87667,-53184,-106925,-80751,-93236,-76309,-96950,-12184,-234280,-74653,-161896,-100879,-58121,-127329,-77516
Legend / Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 Transactions are possible but are zero for a given period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(*) Transactions between zero and +/- $500,000.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(D) Suppressed to avoid the disclosure of data of individual companies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"n.a. Transactions are possible, but data are not available.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"..... Not applicable, or for data periods 1960-1997, transactions that are 0, not available, or not applicable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly estimates are not annualized and are expressed at quarterly rates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Secondary income (current transfer) receipts and payments include U.S. government and private transfers, such as U.S. government grants and pensions, fines and penalties, withholding taxes, personal transfers (remittances), insurance-related transfers, and other current transfers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Transactions for financial derivatives are only available as a net value equal to transactions for assets less transactions for liabilities.  A positive value represents net U.S. cash payments arising from derivatives contracts, and a negative value represents net U.S. cash receipts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3. The statistical discrepancy, which can be calculated as line 38 less line 37, is the difference between total debits and total credits recorded in the current, capital, and financial accounts.  In the current and capital accounts, credits and debits are labeled in the table.  In the financial account, an acquisition of an asset or a repayment of a liability is a debit, and an incurrence of a liability or a disposal of an asset is a credit.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4. Current- and capital-account statistics in the international transactions accounts differ slightly from statistics in the national income and product accounts (NIPAs) because of adjustments made to convert the international transactions statistics to national economic accounting concepts.  A reconciliation between annual statistics in the two sets of accounts appears in NIPA <a href=""https://apps.bea.gov/iTable/iTable.cfm?reqid=19&amp;step=3&amp;isuri=1&amp;1921=survey&amp;1903=136"">table 4.3B</a>.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5. Net lending means that U.S. residents are net suppliers of funds to foreign residents, and net borrowing means the opposite.  Net lending or net borrowing can be computed from current- and capital-account transactions or from financial-account transactions.  The two amounts differ by the statistical discrepancy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
